-0.8723168969154358	30 kvinder: Derfor bruger vi porno	I et nyt videnskabeligt studie fortæller en række kvinder, hvorfor de ser porno. Og det skyldes åbenbart ikke kun, at de er liderlige
-1.7376598119735718	Forkert indstillet nakkestøtte giver piskesmæld	<p>Og otte ud af ti bilister indstiller forkert, siger Rådet for Større Færdselssikkerhed, hvor en bilinspektør vurderer, at en forkert indstillet nakkestøtte er tæt på at være farligere end slet ingen.</p>
0.6090925335884094	Karakterer: Wow - Riemer er en mand af sit ord!	Læs mere her
-0.16423045098781586	Følg 'X Factor' semifinalen	Hvad skete der?Thomas Ove måtte forlade 'X Factor', da seerne sendte Leslie, Svend og 9000 Håb videre til 'X Factor'-finalen.Alle tre dommere har derfor en del...
1.8347946405410767	Rejs til Europas smukkeste rosenhaver i din ferie	Er du rosenelsker, så hold ferie tæt på et sted, der er kendt for sine roser.
0.9273993968963623	Udvidelse og ombygning på vej: Regnskoven får overdraget nyt areal af kommunen	Arealet ved indgangspartiet skal anvendes til en udvidelse og ombygning af ankomstarealet. Et stort flertal sagde god for planerne på byrådsmødet mandag.
-1.6461209058761597	Dræbt kioskejer var tidligere sigtet i drabssag	Den 48-årige pakistanske mand, der blev skudt på klos hold tirsdag aften, har været varetægtsfængslet i forbindelse med et drab sidste år.
0.0937952920794487	Donald Trump vil udnævne nye dommere – og én kvalifikation vægter tungt for præsidenten: Loyalitet	Læs mere her.
-0.0026085281278938055	Vild ræv besøger Ulrik næsten hver aften	Han dutter hende på næsen og giver hende pandekagestykker med hånden og munden. Her er historien om et atypisk makkerskab mellem Ulrik Nørgaard og den vilde ræv Fine.
0.3323608934879303	MSAWIND UK ApS	\N
-1.1322040557861328	Løkkes søn ramt af 24-års regel - Fogh brugte samme eksempel i 2005	Statsministeren blev personlig under debatten med Mette Frederiksen.
-1.870557188987732	Fire skæbnesvangre timer, der rystede Danmark	Klokken 4 om morgenen sneg civilklædte tyskere sig ind over grænsen og dræbte tre danske grænsevagter. Og så begyndte invasionen.
-1.4718739986419678	Danske forbrugere har fået nok af Temu: Ekspert peger på virksomhedens helt store problem	Når det kommer til kundetilfredshed, ligger Temu på et rystende lavt niveau. Ikke desto mindre forbliver den kinesiske gigant et attraktivt sted at handle for en bestemt kundegruppe.
-0.5241552591323853	13-årigt offer ville se Philip Westh i øjnene	Selvom der fredag blev sat et foreløbigt punktum, er sagen ikke slut endnu. Den dømte har nemlig anket til landsretten.
